TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,-1,7,15,Year Exceed,,TRUE,2020/6/27 23:35,anonymous
1,0,7,15,Year Exceed,,TRUE,2020/6/27 23:35,anonymous
2,1999,7,15,Year Exceed,Year Exceed,TRUE,2020/6/27 23:35,anonymous
3,2000,7,15,2000/7/16,2000/7/16,TRUE,2020/6/27 23:35,anonymous
4,2001,7,15,2001/7/16,2001/7/16,TRUE,2020/6/27 23:35,anonymous
5,2044,2,28,2044/2/29,2044/2/29,TRUE,2020/6/27 23:35,anonymous
6,2044,2,29,2044/3/1,2044/3/1,TRUE,2020/6/27 23:35,anonymous
7,2050,-2,15,Month Exceed,Month Exceed,TRUE,2020/6/27 23:35,anonymous
8,2050,0,15,Month Exceed,Month Exceed,TRUE,2020/6/27 23:35,anonymous
9,2050,1,15,2050/1/16,2050/1/16,TRUE,2020/6/27 23:35,anonymous
10,2050,2,15,2050/2/16,2050/2/16,TRUE,2020/6/27 23:35,anonymous
11,2050,2,28,2050/3/1,2050/3/1,TRUE,2020/6/27 23:35,anonymous
12,2050,2,29,day is out of range for month,day is out of range for month,TRUE,2020/6/27 23:35,anonymous
13,2050,6,30,2050/7/1,2050/7/1,TRUE,2020/6/27 23:35,anonymous
14,2050,6,31,day is out of range for month,day is out of range for month,TRUE,2020/6/27 23:35,anonymous
15,2050,7,-5,Day Exceed,Day Exceed,TRUE,2020/6/27 23:35,anonymous
16,2050,7,0,Day Exceed,Day Exceed,TRUE,2020/6/27 23:35,anonymous
17,2050,7,1,2050/7/2,2050/7/2,TRUE,2020/6/27 23:35,anonymous
18,2050,7,2,2050/7/3,2050/7/3,TRUE,2020/6/27 23:35,anonymous
19,2050,7,15,2050/7/16,2050/7/16,TRUE,2020/6/27 23:35,anonymous
20,2050,7,30,2050/7/31,2050/7/31,TRUE,2020/6/27 23:35,anonymous
21,2050,7,31,2050/8/1,2050/8/1,TRUE,2020/6/27 23:35,anonymous
22,2050,7,32,Day Exceed,Day Exceed,TRUE,2020/6/27 23:35,anonymous
23,2050,11,15,2050/11/16,2050/11/16,TRUE,2020/6/27 23:35,anonymous
24,2050,12,15,2050/12/16,2050/12/16,TRUE,2020/6/27 23:35,anonymous
25,2050,15,15,Month Exceed,Month Exceed,TRUE,2020/6/27 23:35,anonymous
26,2099,7,15,2099/7/16,2099/7/16,TRUE,2020/6/27 23:35,anonymous
27,2100,7,15,2100/7/16,2100/7/16,TRUE,2020/6/27 23:35,anonymous
28,2101,7,15,Year Exceed,Year Exceed,TRUE,2020/6/27 23:35,anonymous
29,2000,12,31,2001/1/1,2001/1/1,TRUE,2020/6/27 23:35,anonymous
30,2050,12,31,2051/1/1,2051/1/1,TRUE,2020/6/27 23:35,anonymous
31,2100,12,31,2101/1/1,2101/1/1,TRUE,2020/6/27 23:35,anonymous
